Ticker,Ex-Dividend Date,Dividend,Payment Date,Yield
HRL,2006-04-19,0.14,2006-05-15,0.0079
HRL,2006-01-18,0.14,2006-02-15,0.0079
HRL,2005-10-19,0.13,2005-11-15,0.0081
HRL,2005-07-20,0.13,2005-08-15,0.0083
HRL,2005-04-20,0.13,2005-05-15,0.0082
HRL,2005-01-19,0.13,2005-02-15,0.0076
HRL,2004-10-20,0.1125,2004-11-15,0.0084
HRL,2004-07-21,0.1125,2004-08-15,0.0073
HRL,2004-04-14,0.1125,2004-05-15,0.0073
HRL,2004-01-21,0.1125,2004-02-15,0.0083
HRL,2003-10-15,0.105,2003-11-15,0.0087
HRL,2003-07-16,0.105,2003-08-15,0.0087
HRL,2003-04-15,0.105,2003-05-15,0.0091
HRL,2003-01-15,0.105,2003-02-15,0.0085
HRL,2002-10-16,0.0975,2002-11-15,0.008
HRL,2002-07-17,0.0975,2002-08-15,0.0089
HRL,2002-04-17,0.0975,2002-05-15,0.007
HRL,2002-01-16,0.0975,2002-02-14,0.0071
HRL,2001-10-17,0.0925,2001-11-15,0.0083
HRL,2001-07-18,0.0925,2001-08-15,0.0074
HRL,2001-04-18,0.0925,2001-05-15,0.0092
HRL,2001-01-17,0.0925,2001-02-15,0.0099
HRL,2000-10-18,0.0875,2000-11-15,0.0106
HRL,2000-07-19,0.0875,2000-08-15,0.0105
HRL,2000-04-18,0.0875,2000-05-15,0.0103
HRL,2000-01-19,0.175,2000-02-15,0.0082
EMR,2022-08-11,0.515,2022-09-09,0.0235
EMR,2022-05-12,0.515,2022-06-10,0.0248
EMR,2022-02-10,0.515,2022-03-10,0.0209
EMR,2021-11-10,0.515,2021-12-10,0.0211
EMR,2021-08-12,0.505,2021-09-10,0.0194
EMR,2021-05-13,0.505,2021-06-10,0.0216
EMR,2021-02-11,0.505,2021-03-10,0.0237
EMR,2020-11-12,0.505,2020-12-10,0.027
EMR,2020-08-13,0.5,2020-09-10,0.0279
EMR,2020-05-14,0.5,2020-06-10,0.0385
EMR,2020-02-13,0.5,2020-03-10,0.0265
EMR,2019-11-14,0.5,2019-12-10,0.0272
EMR,2019-08-15,0.49,2019-09-10,0.0343
EMR,2019-05-16,0.49,2019-06-10,0.0299
EMR,2019-02-14,0.49,2019-03-11,0.0287
EMR,2018-11-15,0.49,2018-12-10,0.0291
EMR,2018-08-16,0.485,2018-09-10,0.0264
EMR,2018-05-10,0.485,2018-06-11,0.027
EMR,2018-02-15,0.485,2018-03-09,0.0272
EMR,2017-11-16,0.485,2017-12-11,0.0326
EMR,2017-08-09,0.48,2017-09-11,0.0318
EMR,2017-05-10,0.48,2017-06-09,0.0326
EMR,2017-02-15,0.48,2017-03-10,0.0299
EMR,2016-11-08,0.48,2016-12-09,0.0381
EMR,2016-08-10,0.475,2016-09-09,0.035
EMR,2016-05-11,0.475,2016-06-10,0.0355
EMR,2016-02-10,0.475,2016-03-10,0.0405
EMR,2015-11-10,0.475,2015-12-10,0.039
EMR,2015-08-12,0.47,2015-09-10,0.0384
EMR,2015-05-13,0.47,2015-06-10,0.0306
EMR,2015-02-11,0.47,2015-03-10,0.031
EMR,2014-11-12,0.47,2014-12-10,0.0273
EMR,2014-08-13,0.43,2014-09-10,0.0274
EMR,2014-05-14,0.43,2014-06-10,0.0249
EMR,2014-02-12,0.43,2014-03-10,0.0259
EMR,2013-11-13,0.43,2013-12-10,0.025
EMR,2013-08-14,0.41,2013-09-10,0.0263
EMR,2013-05-15,0.41,2013-06-10,0.0276
EMR,2013-02-13,0.41,2013-03-11,0.0279
EMR,2012-11-14,0.41,2012-12-10,0.0323
EMR,2012-08-15,0.4,2012-09-10,0.0309
EMR,2012-05-09,0.4,2012-06-11,0.0314
EMR,2012-02-15,0.4,2012-03-09,0.0289
EMR,2011-11-08,0.4,2011-12-09,0.0282
EMR,2011-08-10,0.345,2011-09-09,0.0309
EMR,2011-05-11,0.345,2011-06-10,0.0247
EMR,2011-02-09,0.345,2011-03-10,0.0222
EMR,2010-11-09,0.345,2010-12-10,0.0237
EMR,2010-08-11,0.335,2010-09-10,0.0264
EMR,2010-05-12,0.335,2010-06-10,0.0268
EMR,2010-02-10,0.335,2010-03-10,0.029
EMR,2009-11-10,0.335,2009-12-10,0.0317
EMR,2009-08-12,0.33,2009-09-10,0.0367
EMR,2009-05-13,0.33,2009-06-10,0.0364
EMR,2009-02-11,0.33,2009-03-10,0.0384
EMR,2008-11-12,0.33,2008-12-10,0.0387
EMR,2008-08-13,0.3,2008-09-10,0.0244
EMR,2008-05-14,0.3,2008-06-10,0.0206
EMR,2008-02-13,0.3,2008-03-10,0.0218
EMR,2007-11-14,0.3,2007-12-10,0.0196
EMR,2007-08-15,0.2625,2007-09-10,0.0223
EMR,2007-05-09,0.2625,2007-06-11,0.0216
EMR,2007-02-14,0.2625,2007-03-09,0.0217
EMR,2006-11-15,0.525,2006-12-11,0.0212
EMR,2006-08-09,0.445,2006-09-11,0.0224
EMR,2006-05-10,0.445,2006-06-09,0.02
EMR,2006-02-15,0.445,2006-03-10,0.0204
EMR,2005-11-08,0.445,2005-12-09,0.0238
EMR,2005-08-10,0.415,2005-09-09,0.0242
EMR,2005-05-11,0.415,2005-06-10,0.0247
EMR,2005-02-09,0.415,2005-03-10,0.0237
EMR,2004-11-09,0.415,2004-12-10,0.0238
EMR,2004-08-11,0.4,2004-09-10,0.0261
EMR,2004-05-12,0.4,2004-06-10,0.0274
EMR,2004-02-11,0.4,2004-03-10,0.0247
EMR,2003-11-12,0.4,2003-12-10,0.0264
EMR,2003-08-13,0.3925,2003-09-10,0.0299
EMR,2003-05-14,0.3925,2003-06-10,0.0316
EMR,2003-02-12,0.3925,2003-03-10,0.034
EMR,2002-11-13,0.3925,2002-12-10,0.031
EMR,2002-08-14,0.3875,2002-09-10,0.0331
EMR,2002-05-15,0.3875,2002-06-10,0.026
EMR,2002-02-13,0.3875,2002-03-11,0.0267
EMR,2001-11-14,0.3875,2001-12-10,0.0286
EMR,2001-08-15,0.3825,2001-09-10,0.0274
EMR,2001-05-09,0.3825,2001-06-11,0.0229
EMR,2001-02-14,0.3825,2001-03-09,0.0211
EMR,2000-11-15,0.3825,2000-12-11,0.02
EMR,2000-08-09,0.3575,2000-09-11,0.0212
EMR,2000-05-10,0.3575,2000-06-09,0.0251
EMR,2000-02-16,0.3575,2000-03-10,0.0285
CAT,2022-10-21,1.2,2022-11-18,0.0266
CAT,2022-07-19,1.2,2022-08-19,0.0277
CAT,2022-04-22,1.11,2022-05-20,0.0191
CAT,2022-01-19,1.11,2022-02-18,0.0193
CAT,2021-10-22,1.11,2021-11-19,0.022
CAT,2021-07-19,1.11,2021-08-20,0.0214
CAT,2021-04-23,1.03,2021-05-20,0.018
CAT,2021-01-19,1.03,2021-02-19,0.0212
CAT,2020-10-23,1.03,2020-11-20,0.0243
CAT,2020-07-17,1.03,2020-08-20,0.0297
CAT,2020-04-17,1.03,2020-05-20,0.0364
CAT,2020-01-17,1.03,2020-02-20,0.0279
CAT,2019-10-18,1.03,2019-11-20,0.0312
CAT,2019-07-19,1.03,2019-08-20,0.0305
CAT,2019-04-18,0.86,2019-05-20,0.0241
CAT,2019-01-18,0.86,2019-02-20,0.0256
CAT,2018-10-19,0.86,2018-11-20,0.0253
CAT,2018-07-19,0.86,2018-08-20,0.0244
CAT,2018-04-20,0.78,2018-05-19,0.02
CAT,2018-01-19,0.78,2018-02-20,0.0185
CAT,2017-10-20,0.78,2017-11-20,0.0237
CAT,2017-07-18,0.78,2017-08-19,0.0287
CAT,2017-04-20,0.77,2017-05-20,0.033
CAT,2017-01-18,0.77,2017-02-18,0.0329
CAT,2016-10-20,0.77,2016-11-19,0.035
CAT,2016-07-18,0.77,2016-08-20,0.0382
CAT,2016-04-21,0.77,2016-05-20,0.0386
CAT,2016-01-15,0.77,2016-02-20,0.0495
CAT,2015-10-22,0.77,2015-11-20,0.0422
CAT,2015-07-16,0.77,2015-08-20,0.0341
CAT,2015-04-16,0.7,2015-05-20,0.0329
CAT,2015-01-15,0.7,2015-02-20,0.0314
CAT,2014-10-16,0.7,2014-11-20,0.0281
CAT,2014-07-17,0.7,2014-08-20,0.0224
CAT,2014-04-16,0.6,2014-05-20,0.0234
CAT,2014-01-16,0.6,2014-02-20,0.0251
CAT,2013-10-17,0.6,2013-11-20,0.026
CAT,2013-07-18,0.6,2013-08-20,0.0249
CAT,2013-04-18,0.52,2013-05-20,0.0255
CAT,2012-12-20,0.52,2012-12-31,0.0273
CAT,2012-10-18,0.52,2012-11-20,0.0226
CAT,2012-07-18,0.52,2012-08-20,0.0232
CAT,2012-04-19,0.46,2012-05-19,0.0168
CAT,2012-01-18,0.46,2012-02-18,0.0176
CAT,2011-10-20,0.46,2011-11-19,0.0215
CAT,2011-07-18,0.46,2011-08-20,0.0163
CAT,2011-04-20,0.44,2011-05-20,0.0166
CAT,2011-01-18,0.44,2011-02-19,0.0185
CAT,2010-10-21,0.44,2010-11-20,0.0214
CAT,2010-07-16,0.44,2010-08-20,0.0256
CAT,2010-04-22,0.42,2010-05-20,0.0248
CAT,2010-01-15,0.42,2010-02-20,0.0271
CAT,2009-10-22,0.42,2009-11-20,0.0288
CAT,2009-07-16,0.42,2009-08-20,0.0496
CAT,2009-04-16,0.42,2009-05-20,0.0509
CAT,2009-01-15,0.42,2009-02-20,0.0412
CAT,2008-10-16,0.42,2008-11-20,0.0371
CAT,2008-07-17,0.42,2008-08-20,0.0213
CAT,2008-04-17,0.36,2008-05-20,0.0182
CAT,2008-01-17,0.36,2008-02-20,0.0215
CAT,2007-10-18,0.36,2007-11-20,0.0171
CAT,2007-07-18,0.36,2007-08-20,0.0146
CAT,2007-04-19,0.3,2007-05-19,0.0173
CAT,2007-01-18,0.3,2007-02-20,0.0192
CAT,2006-10-19,0.3,2006-11-20,0.0159
CAT,2006-07-18,0.3,2006-08-19,0.0152
CAT,2006-04-20,0.25,2006-05-20,0.0127
CAT,2006-01-18,0.25,2006-02-18,0.0152
CAT,2005-10-20,0.25,2005-11-19,0.0164
CAT,2005-07-20,0.25,2005-08-19,0.0162
CAT,2005-04-21,0.41,2005-05-20,0.0186
CAT,2005-01-18,0.41,2005-02-19,0.0171
CAT,2004-10-21,0.41,2004-11-20,0.0193
CAT,2004-07-16,0.41,2004-08-20,0.0191
CAT,2004-04-22,0.37,2004-05-20,0.018
CAT,2004-01-15,0.37,2004-02-20,0.0172
CAT,2003-10-16,0.37,2003-11-20,0.018
CAT,2003-07-17,0.35,2003-08-20,0.0239
CAT,2003-04-16,0.35,2003-05-20,0.0266
CAT,2003-01-16,0.35,2003-02-20,0.0297
CAT,2002-10-17,0.35,2002-11-20,0.0361
CAT,2002-07-18,0.35,2002-08-20,0.0324
CAT,2002-04-18,0.35,2002-05-20,0.0251
CAT,2002-01-17,0.35,2002-02-20,0.0289
CAT,2001-10-18,0.35,2001-11-20,0.0294
CAT,2001-07-18,0.35,2001-08-20,0.0256
CAT,2001-04-19,0.34,2001-05-19,0.0281
CAT,2001-01-18,0.34,2001-02-20,0.0299
CAT,2000-10-18,0.34,2000-11-20,0.0436
CAT,2000-07-18,0.34,2000-08-19,0.0368
CAT,2000-04-19,0.325,2000-05-20,0.0323
CAT,2000-01-18,0.325,2000-02-19,0.0245
PG,2022-10-20,0.9133,2022-11-15,0.0282
PG,2022-07-21,0.9133,2022-08-15,0.0258
PG,2022-04-21,0.9133,2022-05-16,0.0223
PG,2022-01-20,0.8698,2022-02-15,0.0215
PG,2021-10-21,0.8698,2021-11-15,0.0246
PG,2021-07-22,0.8698,2021-08-16,0.025
PG,2021-04-22,0.8698,2021-05-17,0.0254
PG,2021-01-21,0.7907,2021-02-16,0.024
PG,2020-10-22,0.7907,2020-11-16,0.0221
PG,2020-07-23,0.7907,2020-08-17,0.0251
PG,2020-04-23,0.7907,2020-05-15,0.0265
PG,2020-01-23,0.7459,2020-02-18,0.0236
PG,2019-10-17,0.7459,2019-11-15,0.0254
PG,2019-07-18,0.7459,2019-08-15,0.0257
PG,2019-04-17,0.7459,2019-05-15,0.028
PG,2019-01-17,0.7172,2019-02-15,0.0314
PG,2018-10-18,0.7172,2018-11-15,0.035
PG,2018-07-19,0.7172,2018-08-15,0.036
PG,2018-04-19,0.7172,2018-05-15,0.0367
PG,2018-01-18,0.6896,2018-02-15,0.0302
PG,2017-10-19,0.6896,2017-11-15,0.0297
PG,2017-07-19,0.6896,2017-08-15,0.0311
PG,2017-04-19,0.6896,2017-05-15,0.0304
PG,2017-01-18,0.6695,2017-02-15,0.0314
PG,2016-10-19,0.6695,2016-11-15,0.0306
PG,2016-07-20,0.6695,2016-08-15,0.0311
PG,2016-04-14,0.6695,2016-05-16,0.0325
PG,2016-01-20,0.6629,2016-02-16,0.0346
PG,2015-10-21,0.6629,2015-11-16,0.0354
PG,2015-07-22,0.6629,2015-08-17,0.032
PG,2015-04-23,0.6629,2015-05-15,0.0312
PG,2015-01-21,0.6436,2015-02-17,0.0282
PG,2014-10-22,0.6436,2014-11-17,0.0299
PG,2014-07-16,0.6436,2014-08-15,0.0306
PG,2014-04-23,0.6436,2014-05-15,0.0301
PG,2014-01-22,0.6015,2014-02-18,0.03
PG,2013-10-16,0.6015,2013-11-15,0.0305
PG,2013-07-17,0.6015,2013-08-15,0.0287
PG,2013-04-24,0.6015,2013-05-15,0.0277
PG,2013-01-16,0.562,2013-02-15,0.0322
PG,2012-10-17,0.562,2012-11-15,0.032
PG,2012-07-18,0.562,2012-08-15,0.0333
PG,2012-04-25,0.562,2012-05-15,0.0319
PG,2012-01-18,0.525,2012-02-15,0.0317
PG,2011-10-19,0.525,2011-11-15,0.0317
PG,2011-07-20,0.525,2011-08-15,0.0312
PG,2011-04-27,0.525,2011-05-16,0.0309
PG,2011-01-19,0.4818,2011-02-15,0.0294
PG,2010-10-20,0.4818,2010-11-15,0.0298
PG,2010-07-21,0.4818,2010-08-16,0.0297
PG,2010-04-28,0.4818,2010-05-17,0.0286
PG,2010-01-20,0.44,2010-02-16,0.0285
PG,2009-10-21,0.44,2009-11-16,0.0296
PG,2009-07-22,0.44,2009-08-17,0.0303
PG,2009-04-22,0.44,2009-05-15,0.0319
PG,2009-01-21,0.4,2009-02-17,0.0279
PG,2008-10-22,0.4,2008-11-14,0.0246
PG,2008-07-16,0.4,2008-08-15,0.0233
PG,2008-04-16,0.4,2008-05-15,0.0206
PG,2008-01-16,0.35,2008-02-15,0.0201
PG,2007-10-17,0.35,2007-11-15,0.0192
PG,2007-07-18,0.35,2007-08-15,0.0211
PG,2007-04-25,0.35,2007-05-15,0.0201
PG,2007-01-17,0.31,2007-02-15,0.0191
PG,2006-10-18,0.31,2006-11-15,0.0194
PG,2006-07-19,0.31,2006-08-15,0.0211
PG,2006-04-19,0.31,2006-05-15,0.0205
PG,2006-01-18,0.28,2006-02-15,0.0191
PG,2005-10-19,0.28,2005-11-15,0.0197
PG,2005-07-20,0.28,2005-08-15,0.0193
PG,2005-04-20,0.28,2005-05-16,0.019
PG,2005-01-19,0.25,2005-02-15,0.0179
PG,2004-10-20,0.25,2004-11-15,0.0184
PG,2004-07-21,0.25,2004-08-16,0.0175
PG,2004-04-21,0.5,2004-05-14,0.0178
PG,2004-01-21,0.455,2004-02-17,0.018
PG,2003-10-22,0.455,2003-11-14,0.0181
PG,2003-07-16,0.455,2003-08-15,0.019
PG,2003-04-15,0.41,2003-05-15,0.0182
PG,2003-01-22,0.41,2003-02-14,0.0187
PG,2002-10-16,0.41,2002-11-15,0.0175
PG,2002-07-17,0.41,2002-08-15,0.0191
PG,2002-04-17,0.38,2002-05-15,0.0167
PG,2002-01-16,0.38,2002-02-15,0.0187
PG,2001-10-17,0.38,2001-11-15,0.0206
PG,2001-07-18,0.38,2001-08-15,0.0204
PG,2001-04-18,0.35,2001-05-15,0.0244
PG,2001-01-17,0.35,2001-02-15,0.019
PG,2000-10-18,0.35,2000-11-15,0.0183
PG,2000-07-19,0.35,2000-08-15,0.0226
PG,2000-04-18,0.32,2000-05-15,0.0186
PG,2000-01-19,0.32,2000-02-15,0.0106
SWK,2022-11-30,0.8,2022-12-20,0.0408
SWK,2022-09-02,0.8,2022-09-20,0.0365
SWK,2022-06-06,0.79,2022-06-21,0.0276
SWK,2022-03-07,0.79,2022-03-22,0.0195
SWK,2021-11-30,0.79,2021-12-21,0.0172
SWK,2021-09-03,0.79,2021-09-21,0.0164
SWK,2021-06-07,0.7,2021-06-22,0.0132
SWK,2021-03-08,0.7,2021-03-23,0.0151
SWK,2020-11-30,0.7,2020-12-15,0.0149
SWK,2020-08-31,0.7,2020-09-15,0.0169
SWK,2020-06-01,0.69,2020-06-16,0.022
SWK,2020-03-02,0.69,2020-03-17,0.0192
SWK,2019-11-27,0.69,2019-12-17,0.0174
SWK,2019-08-30,0.69,2019-09-17,0.0207
SWK,2019-06-03,0.66,2019-06-18,0.0208
SWK,2019-03-04,0.66,2019-03-19,0.0199
SWK,2018-11-29,0.66,2018-12-18,0.0206
SWK,2018-09-06,0.66,2018-09-18,0.0185
SWK,2018-06-05,0.63,2018-06-19,0.0177
SWK,2018-03-08,0.63,2018-03-20,0.0161
SWK,2017-11-30,0.63,2017-12-19,0.015
SWK,2017-08-30,0.63,2017-09-19,0.0181
SWK,2017-06-05,0.58,2017-06-20,0.0167
SWK,2017-02-27,0.58,2017-03-21,0.0182
SWK,2016-11-30,0.58,2016-12-20,0.0193
SWK,2016-08-31,0.58,2016-09-20,0.0186
SWK,2016-05-27,0.55,2016-06-21,0.0194
SWK,2016-02-29,0.55,2016-03-22,0.023
SWK,2015-12-02,0.55,2015-12-22,0.0194
SWK,2015-09-02,0.55,2015-09-22,0.0215
SWK,2015-06-01,0.52,2015-06-23,0.0203
SWK,2015-03-02,0.52,2015-03-24,0.0209
SWK,2014-12-03,0.52,2014-12-16,0.0216
SWK,2014-09-03,0.52,2014-09-16,0.0221
SWK,2014-06-02,0.5,2014-06-17,0.0229
SWK,2014-03-03,0.5,2014-03-18,0.024
SWK,2013-12-04,0.5,2013-12-10,0.0248
SWK,2013-09-04,0.5,2013-09-17,0.0228
SWK,2013-06-03,0.49,2013-06-18,0.0247
SWK,2013-03-07,0.49,2013-03-19,0.0239
SWK,2012-12-05,0.49,2012-12-11,0.0257
SWK,2012-09-05,0.49,2012-09-18,0.0261
SWK,2012-06-04,0.41,2012-06-19,0.0258
SWK,2012-03-05,0.41,2012-03-20,0.0216
SWK,2011-11-30,0.41,2011-12-13,0.026
SWK,2011-08-31,0.41,2011-09-20,0.0253
SWK,2011-05-27,0.41,2011-06-21,0.0203
SWK,2011-02-28,0.41,2011-03-22,0.0189
SWK,2010-12-01,0.34,2010-12-14,0.0225
SWK,2010-09-01,0.34,2010-09-21,0.0248
SWK,2010-05-28,0.33,2010-06-22,0.0231
SWK,2010-03-01,0.33,2010-03-23,0.0229
SWK,2009-12-02,0.33,2009-12-15,0.0265
SWK,2009-09-02,0.33,2009-09-22,0.0324
SWK,2009-06-01,0.32,2009-06-23,0.0359
